學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1024,崑山科技大學,D 日,C 二技,55,26,29, -, -, -, -,5,4,21,25, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1024,崑山科技大學,D 日,2 二專,12,3,9,3,9, -, -, -, -, -, -, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1024,崑山科技大學,N 職,M 碩士,172,114,58,64,27,32,23,9,4,9,4, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1024,崑山科技大學,N 修,B 四技,"2,110","1,444",666,348,134,288,136,317,165,369,171, -, -, -, -, -, -,122,60,11 臺南市,2 技職
1024,崑山科技大學,N 修,C 二技,291,169,122, -, -, -, -,87,75,79,46, -, -, -, -, -, -,3,1,11 臺南市,2 技職
1024,崑山科技大學,N 修,2 二專,1,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1, -,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,M 碩士,164,71,93,40,40,22,38,6,11,3,4, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,B 四技,"8,350","3,515","4,835",667,"1,019",878,"1,123",820,"1,125",938,"1,326",102,154, -, -, -, -,110,88,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,C 二技,78,1,77, -, -, -, -,1,30, -,46, -, -, -, -, -, -, -,1,11 臺南市,2 技職
1025,嘉南藥理大學,D 日,5 五專,112,51,61,51,61, -, -, -, -, -, -, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1025,嘉南藥理大學,N 職,M 碩士,192,84,108,37,42,27,43,12,19,5,3,3,1, -, -, -, -, -, -,11 臺南市,2 技職
1025,嘉南藥理大學,N 修,B 四技,"1,194",597,597,127,112,108,113,141,120,159,183, -, -, -, -, -, -,62,69,11 臺南市,2 技職
1025,嘉南藥理大學,N 修,C 二技,526,85,441, -, -, -, -,46,229,37,209, -, -, -, -, -, -,2,3,11 臺南市,2 技職
1026,樹德科技大學,D 日,D 博士,33,16,17,4,5,3,2,1,2,1,2,7,6, -, -, -, -, -, -,12 高雄市,2 技職
1026,樹德科技大學,D 日,M 碩士,233,87,146,45,63,28,48,4,21,8,14,2, -, -, -, -, -, -, -,12 高雄市,2 技職
1026,樹德科技大學,D 日,B 四技,"6,632","2,892","3,740",614,865,739,894,635,847,699,987, -, -, -, -, -, -,205,147,12 高雄市,2 技職
1026,樹德科技大學,N 職,M 碩士,323,145,178,51,67,32,48,20,27,42,36, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1026,樹德科技大學,N 修,B 四技,"1,098",638,460,225,135,108,94,113,93,147,113, -, -, -, -, -, -,45,25,12 高雄市,2 技職
1026,樹德科技大學,N 修,C 二技,504,219,285, -, -, -, -,120,145,94,137, -, -, -, -, -, -,5,3,12 高雄市,2 技職
1026,樹德科技大學,N 修,2 二專,308,157,151,64,78,88,71, -, -, -, -, -, -, -, -, -, -,5,2,12 高雄市,2 技職
1027,慈濟大學,D 日,D 博士,97,48,49,10,6,4,13,12,9,8,9,6,4,4,1,4,7, -, -,15 花蓮縣,1 一般
1027,慈濟大學,D 日,M 碩士,383,119,264,44,79,43,97,20,46,12,42, -, -, -, -, -, -, -, -,15 花蓮縣,1 一般
1027,慈濟大學,D 日,B 學士,"2,558","1,041","1,517",206,264,239,374,228,397,236,374,60,43,30,23, -, -,42,42,15 花蓮縣,1 一般
1027,慈濟大學,N 職,M 碩士,19,5,14,2,8,1,1,1,2, -,2,1,1, -, -, -, -, -, -,15 花蓮縣,1 一般
1028,臺北醫學大學,D 日,D 博士,612,324,288,73,73,65,62,64,54,45,40,42,29,16,17,19,13, -, -,30 臺北市,1 一般
1028,臺北醫學大學,D 日,M 碩士,699,228,471,99,198,97,197,24,54,7,21,1,1, -, -, -, -, -, -,30 臺北市,1 一般
1028,臺北醫學大學,D 日,B 學士,"4,543","1,909","2,634",401,557,401,604,352,669,376,537,169,107,171,107, -, -,39,53,30 臺北市,1 一般
1028,臺北醫學大學,N 職,M 碩士,300,92,208,35,72,42,73,8,31,7,31, -,1, -, -, -, -, -, -,30 臺北市,1 一般
1029,中山醫學大學,D 日,D 博士,181,106,75,21,14,23,8,21,15,19,10,5,9,10,8,7,11, -, -,19 臺中市,1 一般
1029,中山醫學大學,D 日,M 碩士,537,177,360,76,138,59,128,25,52,17,42, -, -, -, -, -, -, -, -,19 臺中市,1 一般
1029,中山醫學大學,D 日,B 學士,"5,983","2,125","3,858",436,791,476,918,464,928,461,915,119,94,107,102, -, -,62,110,19 臺中市,1 一般
1029,中山醫學大學,N 職,M 碩士,168,30,138,17,53,9,57,2,15,2,8, -,5, -, -, -, -, -, -,19 臺中市,1 一般
1029,中山醫學大學,N 修,C 二技,113,40,73, -, -, -, -,17,19,10,27,12,25, -, -, -, -,1,2,19 臺中市,2 技職
1030,龍華科技大學,D 日,M 碩士,359,243,116,100,39,80,42,38,25,25,10, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1030,龍華科技大學,D 日,B 四技,"7,554","5,150","2,404","1,249",562,"1,186",505,"1,229",581,"1,157",627, -, -, -, -, -, -,329,129,03 桃園市,2 技職
1030,龍華科技大學,D 日,C 二技,11,8,3, -, -, -, -,4,1,3,2, -, -, -, -, -, -,1, -,03 桃園市,2 技職
1030,龍華科技大學,D 日,5 五專,823,742,81,198,18,165,17,149,17,133,16,96,13, -, -, -, -,1, -,03 桃園市,2 技職
1030,龍華科技大學,N 職,M 碩士,122,91,31,30,17,45,10,7,2,9,2, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1030,龍華科技大學,N 修,B 四技,"2,851","2,200",651,674,206,473,120,418,122,452,150, -, -, -, -, -, -,183,53,03 桃園市,2 技職
1031,輔英科技大學,D 日,M 碩士,154,31,123,16,47,8,37,5,21,2,17, -,1, -, -, -, -, -, -,12 高雄市,2 技職
1031,輔英科技大學,D 日,B 四技,"3,403","1,343","2,060",237,408,364,499,326,521,315,522, -, -, -, -, -, -,101,110,12 高雄市,2 技職
1031,輔英科技大學,D 日,C 二技,"1,442",167,"1,275", -, -, -, -,87,611,72,647, -, -, -, -, -, -,8,17,12 高雄市,2 技職
1031,輔英科技大學,D 日,5 五專,"2,652",328,"2,324",71,440,68,429,56,509,66,454,56,437, -, -, -, -,11,55,12 高雄市,2 技職
1031,輔英科技大學,N 職,M 碩士,79,2,77, -,21, -,14,1,21, -,11,1,10, -, -, -, -, -, -,12 高雄市,2 技職
1031,輔英科技大學,N 修,B 四技,417,328,89,99,29,62,19,46,13,82,21, -, -, -, -, -, -,39,7,12 高雄市,2 技職
1031,輔英科技大學,N 修,C 二技,951,200,751, -, -, -, -,78,304,74,323,18,26, -, -, -, -,30,98,12 高雄市,2 技職
1032,明新科技大學,D 日,M 碩士,343,197,146,84,68,83,59,17,13,13,6, -, -, -, -, -, -, -, -,04 新竹縣,2 技職
1032,明新科技大學,D 日,B 四技,"6,523","3,909","2,614",974,674,849,545,721,492,"1,064",740, -, -, -, -, -, -,301,163,04 新竹縣,2 技職
1032,明新科技大學,D 日,C 二技,39,23,16, -, -, -, -, -, -,23,16, -, -, -, -, -, -, -, -,04 新竹縣,2 技職
1032,明新科技大學,D 日,2 二專,23,21,2,17,2,4, -, -, -, -, -, -, -, -, -, -, -, -, -,04 新竹縣,2 技職
1032,明新科技大學,N 職,M 碩士,304,199,105,84,69,58,28,28,2,12,2,9,2,8,2, -, -, -, -,04 新竹縣,2 技職
1032,明新科技大學,N 修,B 四技,"2,410","1,515",895,316,198,339,190,351,213,344,225, -, -, -, -, -, -,165,69,04 新竹縣,2 技職
1032,明新科技大學,N 修,C 二技,707,389,318, -, -, -, -,197,178,172,128, -, -, -, -, -, -,20,12,04 新竹縣,2 技職
1032,明新科技大學,N 修,2 二專,207,135,72,67,35,51,36, -, -, -, -, -, -, -, -, -, -,17,1,04 新竹縣,2 技職
1033,長榮大學,D 日,D 博士,50,36,14,8,3,6,3,9,4,6,2,3,1,3, -,1,1, -, -,11 臺南市,1 一般
1033,長榮大學,D 日,M 碩士,244,98,146,42,54,28,29,17,30,10,23,1,10, -, -, -, -, -, -,11 臺南市,1 一般
1033,長榮大學,D 日,B 學士,"6,133","2,894","3,239",544,586,718,742,779,832,705,968, -, -, -, -, -, -,148,111,11 臺南市,1 一般
1033,長榮大學,N 職,M 碩士,96,56,40,20,21,22,9,11,2,3,4, -,4, -, -, -, -, -, -,11 臺南市,1 一般
1033,長榮大學,P 進,B 學士,260,194,66,46,13,44,12,41,17,53,20, -, -, -, -, -, -,10,4,11 臺南市,1 一般
1034,弘光科技大學,D 日,D 博士,15,1,14, -,5,1,3, -,1, -,3, -,1, -,1, -, -, -, -,06 臺中市,2 技職
1034,弘光科技大學,D 日,M 碩士,184,48,136,24,51,18,45,5,21,1,19, -, -, -, -, -, -, -, -,06 臺中市,2 技職
1034,弘光科技大學,D 日,B 四技,"6,958","2,461","4,497",544,"1,077",593,"1,119",586,"1,073",624,"1,074", -, -, -, -, -, -,114,154,06 臺中市,2 技職
1034,弘光科技大學,D 日,C 二技,724,50,674, -, -, -, -,21,338,29,332, -, -, -, -, -, -, -,4,06 臺中市,2 技職
1034,弘光科技大學,D 日,2 二專,11,5,6,5,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -,06 臺中市,2 技職
1034,弘光科技大學,D 日,5 五專,266,31,235,3,50,5,48,5,47,8,42,9,41, -, -, -, -,1,7,06 臺中市,2 技職
1034,弘光科技大學,N 職,M 碩士,102,32,70,13,21,11,23,6,15,1,5, -,3,1,3, -, -, -, -,06 臺中市,2 技職
1034,弘光科技大學,N 修,B 四技,"2,917","1,346","1,571",318,403,314,349,313,347,315,367,4,27, -, -, -, -,82,78,06 臺中市,2 技職
1034,弘光科技大學,N 修,C 二技,807,83,724, -, -, -, -,30,248,33,267,20,206, -, -, -, -, -,3,06 臺中市,2 技職
1034,弘光科技大學,N 修,2 二專,122,14,108,6,60,8,38, -, -, -, -, -, -, -, -, -, -, -,10,06 臺中市,2 技職
1035,中國醫藥大學,D 日,D 博士,412,230,182,57,49,52,34,44,28,24,30,24,17,14,14,15,10, -, -,19 臺中市,1 一般
1035,中國醫藥大學,D 日,M 碩士,501,183,318,89,167,71,115,16,24,6,6,1,6, -, -, -, -, -, -,19 臺中市,1 一般
1035,中國醫藥大學,D 日,B 學士,"6,304","2,677","3,627",550,780,523,776,508,780,479,736,324,296,169,122,58,66,66,71,19 臺中市,1 一般
1035,中國醫藥大學,N 職,M 碩士,83,18,65,11,25,3,25,2,12,2,3, -, -, -, -, -, -, -, -,19 臺中市,1 一般
1036,健行科技大學,D 日,M 碩士,347,205,142,98,72,46,40,32,19,27,9,1,2, -, -,1, -, -, -,03 桃園市,2 技職
1036,健行科技大學,D 日,B 四技,"5,867","3,803","2,064",785,463,974,607,806,445,983,451, -, -, -, -, -, -,255,98,03 桃園市,2 技職
1036,健行科技大學,D 日,C 二技,48,31,17, -, -, -, -,5,2,25,15, -, -, -, -, -, -,1, -,03 桃園市,2 技職
1036,健行科技大學,N 職,M 碩士,36,20,16,8,12,5,3,1,1,3, -,1, -,2, -, -, -, -, -,03 桃園市,2 技職
1036,健行科技大學,N 修,B 四技,"3,409","2,124","1,285",502,292,430,320,546,304,483,311, -, -, -, -, -, -,163,58,03 桃園市,2 技職
1036,健行科技大學,N 修,C 二技,385,194,191, -, -, -, -,100,96,92,91, -, -, -, -, -, -,2,4,03 桃園市,2 技職
1037,正修科技大學,D 日,D 博士,14,14, -,3, -,4, -,2, -,3, -,2, -, -, -, -, -, -, -,12 高雄市,2 技職
1037,正修科技大學,D 日,M 碩士,377,208,169,98,73,84,65,20,20,6,11, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1037,正修科技大學,D 日,B 四技,"8,073","5,211","2,862","1,340",738,"1,306",666,"1,177",667,"1,195",723, -, -, -, -, -, -,193,68,12 高雄市,2 技職
1037,正修科技大學,D 日,C 二技,28,25,3, -, -, -, -, -, -,25,3, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1037,正修科技大學,D 日,5 五專,340,257,83,50,22,62,21,59,15,46,10,40,15, -, -, -, -, -, -,12 高雄市,2 技職
1037,正修科技大學,N 職,M 碩士,205,137,68,55,33,72,33,5,1,5,1, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1037,正修科技大學,N 修,B 四技,"4,406","2,885","1,521",666,444,546,267,668,342,748,360, -, -, -, -, -, -,257,108,12 高雄市,2 技職
1037,正修科技大學,N 修,C 二技,"2,497","1,226","1,271", -, -, -, -,671,678,535,584, -, -, -, -, -, -,20,9,12 高雄市,2 技職
1037,正修科技大學,N 修,2 二專,827,493,334,255,166,205,152, -, -, -, -, -, -, -, -, -, -,33,16,12 高雄市,2 技職
1038,萬能科技大學,D 日,M 碩士,147,77,70,30,31,23,22,18,11,6,6, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1038,萬能科技大學,D 日,B 四技,"5,312","2,929","2,383",736,574,652,539,635,539,696,630, -, -, -, -, -, -,210,101,03 桃園市,2 技職
1038,萬能科技大學,N 職,M 碩士,146,73,73,43,42,29,30,1,1, -, -, -, -, -, -, -, -, -, -,03 桃園市,2 技職
1038,萬能科技大學,N 修,B 四技,"2,249","1,296",953,355,262,282,198,295,243,298,215, -, -, -, -, -, -,66,35,03 桃園市,2 技職
1038,萬能科技大學,N 修,C 二技,363,182,181, -, -, -, -,81,79,94,99, -, -, -, -, -, -,7,3,03 桃園市,2 技職
1038,萬能科技大學,N 修,2 二專,6, -,6, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,6,03 桃園市,2 技職
1039,玄奘大學,D 日,M 碩士,261,92,169,31,48,25,45,18,46,12,27,4,2,2,1, -, -, -, -,18 新竹市,1 一般
1039,玄奘大學,D 日,B 學士,"1,376",561,815,95,169,110,188,161,213,149,206, -, -, -, -, -, -,46,39,18 新竹市,1 一般
1039,玄奘大學,N 職,M 碩士,149,44,105,8,35,13,25,12,20,8,19,2,6,1, -, -, -, -, -,18 新竹市,1 一般
1039,玄奘大學,N 修,C 二技,14,5,9, -, -, -, -,5,9, -, -, -, -, -, -, -, -, -, -,18 新竹市,2 技職
1039,玄奘大學,P 進,B 學士,5, -,5, -, -, -, -, -, -, -,1, -, -, -, -, -, -, -,4,18 新竹市,1 一般
1040,建國科技大學,D 日,M 碩士,132,77,55,33,28,28,23,7,1,9,3, -, -, -, -, -, -, -, -,07 彰化縣,2 技職
1040,建國科技大學,D 日,B 四技,"2,679","1,841",838,340,148,333,156,341,161,680,326, -, -, -, -, -, -,147,47,07 彰化縣,2 技職
1040,建國科技大學,D 日,2 二專,9,8,1,8,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,07 彰化縣,2 技職
1040,建國科技大學,N 修,B 四技,"1,609","1,228",381,336,79,219,104,245,97,364,86, -, -, -, -, -, -,64,15,07 彰化縣,2 技職
1040,建國科技大學,N 修,C 二技,319,177,142, -, -, -, -,84,77,84,62, -, -, -, -, -, -,9,3,07 彰化縣,2 技職
1040,建國科技大學,N 修,2 二專,48,30,18,16,9,10,9, -, -, -, -, -, -, -, -, -, -,4, -,07 彰化縣,2 技職
1041,明志科技大學,D 日,D 博士,47,34,13,10,7,13,5,5, -,2,1,3, -, -, -,1, -, -, -,01 新北市,2 技職
1041,明志科技大學,D 日,M 碩士,479,363,116,160,39,151,53,39,22,13,2, -, -, -, -, -, -, -, -,01 新北市,2 技職
1041,明志科技大學,D 日,B 四技,"3,598","2,577","1,021",641,256,617,273,602,234,610,246, -, -, -, -, -, -,107,12,01 新北市,2 技職
1041,明志科技大學,N 職,M 碩士,22,17,5,5,3,8,2,4, -, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1041,明志科技大學,N 修,B 四技,198,191,7,24,1,26,1,20,1,84,4, -, -, -, -, -, -,37, -,01 新北市,2 技職
1042,高苑科技大學,D 日,M 碩士,90,57,33,19,11,27,12,10,7,1,3, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1042,高苑科技大學,D 日,B 四技,"1,132",672,460,83,61,160,123,129,99,228,146, -, -, -, -, -, -,72,31,12 高雄市,2 技職
1042,高苑科技大學,D 日,5 五專,8,7,1,7,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -,12 高雄市,2 技職
1042,高苑科技大學,N 職,M 碩士,110,84,26,37,14,41,11,5, -, -, -,1,1, -, -, -, -, -, -,12 高雄市,2 技職
1042,高苑科技大學,N 修,B 四技,481,393,88,50,10,76,29,110,26,125,20, -, -, -, -, -, -,32,3,12 高雄市,2 技職
1042,高苑科技大學,N 修,C 二技,225,138,87, -, -, -, -,49,43,75,44, -, -, -, -, -, -,14, -,12 高雄市,2 技職
1042,高苑科技大學,N 修,2 二專,59,29,30,8,4,18,24, -, -, -, -, -, -, -, -, -, -,3,2,12 高雄市,2 技職
1043,大仁科技大學,D 日,M 碩士,84,35,49,21,25,7,17,4,6,3,1, -, -, -, -, -, -, -, -,13 屏東縣,2 技職
1043,大仁科技大學,D 日,B 四技,"2,767","1,314","1,453",269,301,259,283,248,299,338,378,100,117, -, -, -, -,100,75,13 屏東縣,2 技職
1043,大仁科技大學,N 職,M 碩士,140,77,63,36,23,35,33,4,5,2,1, -,1, -, -, -, -, -, -,13 屏東縣,2 技職
1043,大仁科技大學,N 修,B 四技,120,74,46,23,9,16,15,6,9,21,12, -, -, -, -, -, -,8,1,13 屏東縣,2 技職
1043,大仁科技大學,N 修,C 二技,"1,322",455,867, -, -, -, -,213,418,210,423, -, -, -, -, -, -,32,26,13 屏東縣,2 技職
1043,大仁科技大學,N 修,2 二專,89,49,40,20,15,20,18, -, -, -, -, -, -, -, -, -, -,9,7,13 屏東縣,2 技職
1044,聖約翰科技大學,D 日,M 碩士,71,54,17,17,6,21,8,8,1,8,2, -, -, -, -, -, -, -, -,01 新北市,2 技職
1044,聖約翰科技大學,D 日,B 四技,594,381,213,31,14,52,23,53,40,167,101, -, -, -, -, -, -,78,35,01 新北市,2 技職
1044,聖約翰科技大學,D 日,5 五專,98,79,19, -, -, -, -,5,3,31,6,34,8, -, -, -, -,9,2,01 新北市,2 技職
1044,聖約翰科技大學,N 職,M 碩士,69,51,18,17,7,18,6,6,3,10,2, -, -, -, -, -, -, -, -,01 新北市,2 技職
1044,聖約翰科技大學,N 修,B 四技,181,162,19,21,1,32,2,14,1,92,15, -, -, -, -, -, -,3, -,01 新北市,2 技職
1044,聖約翰科技大學,N 修,C 二技,57,45,12, -, -, -, -,14,5,27,6, -, -, -, -, -, -,4,1,01 新北市,2 技職
1044,聖約翰科技大學,N 修,2 二專,49,33,16,11,6,22,10, -, -, -, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1045,嶺東科技大學,D 日,M 碩士,219,97,122,51,61,30,38,10,15,6,8, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1045,嶺東科技大學,D 日,B 四技,"6,609","2,467","4,142",530,915,637,999,572,"1,029",609,"1,117", -, -, -, -, -, -,119,82,19 臺中市,2 技職
1045,嶺東科技大學,D 日,C 二技,1, -,1, -, -, -, -, -,1, -, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1045,嶺東科技大學,N 職,M 碩士,154,82,72,34,47,39,23,8,2,1, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1045,嶺東科技大學,N 修,B 四技,"2,438","1,310","1,128",317,292,275,237,312,258,307,277, -, -, -, -, -, -,99,64,19 臺中市,2 技職
1045,嶺東科技大學,N 修,C 二技,45,4,41, -, -, -, -,4,41, -, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1046,中國科技大學,D 日,M 碩士,185,104,81,40,30,36,27,17,14,11,10, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1046,中國科技大學,D 日,B 四技,"5,409","2,524","2,885",486,615,646,709,535,619,694,807, -, -, -, -, -, -,163,135,30 臺北市,2 技職
1046,中國科技大學,D 日,C 二技,7,2,5, -, -, -, -, -, -,2,5, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1046,中國科技大學,N 職,M 碩士,60,36,24,18,6,14,17,4,1, -, -, -, -, -, -, -, -, -, -,30 臺北市,2 技職
1046,中國科技大學,N 修,B 四技,994,589,405,155,114,130,75,103,88,141,94, -, -, -, -, -, -,60,34,30 臺北市,2 技職
1046,中國科技大學,N 修,C 二技,656,327,329, -, -, -, -,166,152,149,173, -, -, -, -, -, -,12,4,30 臺北市,2 技職
1046,中國科技大學,N 修,2 二專,307,159,148,80,79,60,59, -, -, -, -, -, -, -, -, -, -,19,10,30 臺北市,2 技職
1047,中臺科技大學,D 日,D 博士,8,4,4, -,1,2,1,1, -, -, -, -,1, -, -,1,1, -, -,19 臺中市,2 技職
1047,中臺科技大學,D 日,M 碩士,119,35,84,17,36,13,30,3,8,1,7,1,3, -, -, -, -, -, -,19 臺中市,2 技職
1047,中臺科技大學,D 日,B 四技,"3,752","1,580","2,172",262,442,378,483,381,480,422,647, -, -, -, -, -, -,137,120,19 臺中市,2 技職
1047,中臺科技大學,D 日,C 二技,575,102,473, -, -, -, -,54,235,46,237, -, -, -, -, -, -,2,1,19 臺中市,2 技職
1047,中臺科技大學,D 日,2 二專,14,5,9, -, -,5,9, -, -, -, -, -, -, -, -, -, -, -, -,19 臺中市,2 技職
1047,中臺科技大學,N 職,M 碩士,271,55,216,17,76,20,71,8,32,8,25,2,12, -, -, -, -, -, -,19 臺中市,2 技職
1047,中臺科技大學,N 修,B 四技,"1,363",487,876,108,171,98,202,119,199,114,205,12,62, -, -, -, -,36,37,19 臺中市,2 技職
1047,中臺科技大學,N 修,C 二技,819,100,719, -, -, -, -,52,408,26,261,21,45, -, -, -, -,1,5,19 臺中市,2 技職
1048,亞洲大學,D 日,D 博士,230,138,92,33,23,21,20,23,15,22,12,15,11,11,7,13,4, -, -,06 臺中市,1 一般
1048,亞洲大學,D 日,M 碩士,631,229,402,93,192,55,104,48,62,33,44, -, -, -, -, -, -, -, -,06 臺中市,1 一般
1048,亞洲大學,D 日,B 學士,"9,079","3,211","5,868",708,"1,369",775,"1,473",772,"1,450",747,"1,424", -, -, -, -, -, -,209,152,06 臺中市,1 一般
1048,亞洲大學,N 職,M 碩士,420,193,227,119,123,47,72,24,17,3,15, -, -, -, -, -, -, -, -,06 臺中市,1 一般
1048,亞洲大學,P 進,B 學士,553,238,315,43,68,54,71,56,70,53,66, -, -, -, -, -, -,32,40,06 臺中市,1 一般
1049,開南大學,D 日,M 碩士,228,84,144,37,68,17,35,16,18,12,22,2,1, -, -, -, -, -, -,03 桃園市,1 一般
1049,開南大學,D 日,B 學士,"3,249","1,602","1,647",363,312,313,355,374,393,392,448, -, -, -, -, -, -,160,139,03 桃園市,1 一般
1049,開南大學,N 職,M 碩士,299,174,125,92,72,33,33,18,7,14,3,9,4,8,5, -,1, -, -,03 桃園市,1 一般
1049,開南大學,P 進,B 學士,"1,002",558,444,144,141,108,83,132,105,139,95, -, -, -, -, -, -,35,20,03 桃園市,1 一般
1050,佛光大學,D 日,D 博士,64,20,44,3,6, -,7,4,6,3,6,4,9,3,7,3,3, -, -,02 宜蘭縣,1 一般
1050,佛光大學,D 日,M 碩士,433,183,250,80,102,43,56,23,36,35,52,1,2,1,2, -, -, -, -,02 宜蘭縣,1 一般
1050,佛光大學,D 日,B 學士,"2,469","1,169","1,300",261,286,268,320,279,314,271,327, -, -, -, -, -, -,90,53,02 宜蘭縣,1 一般
1050,佛光大學,N 職,M 碩士,102,56,46,29,30,14,7,4,1, -,2,9,6, -, -, -, -, -, -,02 宜蘭縣,1 一般
1051,台南應用科技大學,D 日,M 碩士,94,32,62,17,24,12,27,3,9, -,2, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1051,台南應用科技大學,D 日,B 四技,"7,044","2,084","4,960",398,"1,061",540,"1,262",489,"1,231",568,"1,316", -, -, -, -, -, -,89,90,11 臺南市,2 技職
1051,台南應用科技大學,D 日,C 二技,450,82,368, -, -, -, -,41,153,36,182, -, -, -, -, -, -,5,33,11 臺南市,2 技職
1051,台南應用科技大學,D 日,5 五專,902,221,681,40,131,41,130,47,133,47,144,46,143, -, -, -, -, -, -,11 臺南市,2 技職
1051,台南應用科技大學,N 職,M 碩士,104,23,81,8,28,10,32,2,12,3,6, -,3, -, -, -, -, -, -,11 臺南市,2 技職
1051,台南應用科技大學,N 修,B 四技,"1,957",733,"1,224",149,245,119,192,171,304,211,363,35,81, -, -, -, -,48,39,11 臺南市,2 技職
1051,台南應用科技大學,N 修,C 二技,169,17,152, -, -, -, -,7,71,5,71, -, -, -, -, -, -,5,10,11 臺南市,2 技職
1052,遠東科技大學,D 日,M 碩士,228,121,107,52,52,52,47,11,8,6, -, -, -, -, -, -, -, -, -,11 臺南市,2 技職
1052,遠東科技大學,D 日,B 四技,"1,796","1,295",501,232,83,197,69,307,123,405,180, -, -, -, -, -, -,154,46,11 臺南市,2 技職
1052,遠東科技大學,N 職,M 碩士,38,36,2,9, -,8,1,9,1,5, -,4, -,1, -, -, -, -, -,11 臺南市,2 技職
1052,遠東科技大學,N 修,B 四技,375,293,82,60,14,51,15,50,21,113,24, -, -, -, -, -, -,19,8,11 臺南市,2 技職
1052,遠東科技大學,N 修,C 二技,302,184,118, -, -, -, -,99,44,80,71, -, -, -, -, -, -,5,3,11 臺南市,2 技職
1052,遠東科技大學,N 修,2 二專,193,135,58,88,25,41,32, -, -, -, -, -, -, -, -, -, -,6,1,11 臺南市,2 技職
1053,元培醫事科技大學,D 日,D 博士,2,2, -, -, -,1, -,1, -, -, -, -, -, -, -, -, -, -, -,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,M 碩士,245,101,144,36,61,37,42,21,29,7,12, -, -, -, -, -, -, -, -,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,B 四技,"3,035","1,265","1,770",214,310,285,450,279,431,343,475, -, -, -, -, -, -,144,104,18 新竹市,2 技職
1053,元培醫事科技大學,D 日,C 二技,102,7,95, -, -, -, -,2,49,5,46, -, -, -, -, -, -, -, -,18 新竹市,2 技職
1053,元培醫事科技大學,N 職,M 碩士,41,12,29,7,10,5,12, -,1, -,6, -, -, -, -, -, -, -, -,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,B 四技,"1,187",582,605,82,117,93,126,150,154,200,172, -, -, -, -, -, -,57,36,18 新竹市,2 技職
1053,元培醫事科技大學,N 修,C 二技,448,93,355, -, -, -, -,27,117,63,231, -, -, -, -, -, -,3,7,18 新竹市,2 技職
1054,景文科技大學,D 日,M 碩士,7,5,2, -, -, -, -,3,1,2,1, -, -, -, -, -, -, -, -,01 新北市,2 技職
1054,景文科技大學,D 日,B 四技,"4,206","1,905","2,301",434,488,380,459,421,513,519,739, -, -, -, -, -, -,151,102,01 新北市,2 技職
1054,景文科技大學,D 日,C 二技,22,12,10, -, -, -, -,3,2,9,7, -, -, -, -, -, -, -,1,01 新北市,2 技職
1054,景文科技大學,N 職,M 碩士,57,36,21,16,8,14,11,4,2,2, -, -, -, -, -, -, -, -, -,01 新北市,2 技職
1054,景文科技大學,N 修,B 四技,686,371,315,143,104,50,45,45,50,103,98, -, -, -, -, -, -,30,18,01 新北市,2 技職
1054,景文科技大學,N 修,C 二技,285,160,125, -, -, -, -,68,61,83,59, -, -, -, -, -, -,9,5,01 新北市,2 技職
1054,景文科技大學,N 修,2 二專,79,44,35,17,16,24,15, -, -, -, -, -, -, -, -, -, -,3,4,01 新北市,2 技職
